symbol,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,exit_reason,enter_tag,exit_tag,tp1_price,tp1_time,tp1_exit_reason,tp2_price,tp2_time,tp1_pnl,pnl_points,pnl_usd,capital
XAUUSD,long,2025-05-14 04:05:00+00:00,2025-05-14 05:25:00+00:00,3241.32,3235.7466877529655,1.0,-5.573312247034664,SL_sl_atr_BREAKER,BREAKER,SL_sl_atr_BREAKER,,,,,,,-5.573312247034664,-171.94575811813286,102554.17227981726
GBPUSD,long,2025-05-14 04:40:00+00:00,2025-05-14 06:30:00+00:00,1.33084,1.3299366,1.0,-0.0009034000000001097,SL_zone_level_GPG_H1,GPG_H1,SL_zone_level_GPG_H1,,,,,,,-0.0009034000000001097,-67.88193922636152,102486.2903405909
USDCHF,long,2025-05-14 04:35:00+00:00,2025-05-14 06:55:00+00:00,0.83848,0.83848,1.0,0.0003750000000000142,TP1_TP1_ATR,FVG_H1,TP1_TP1_ATR,0.83923,2025-05-14 05:05:00+00:00,TP1_TP1_ATR,,,0.0003750000000000142,0.0003750000000000142,44.72378589829385,102531.01412648919
EURUSD,long,2025-05-14 04:40:00+00:00,2025-05-14 07:00:00+00:00,1.11897,1.11935,1.0,0.00038000000000004697,bearish_lqs,FVG,bearish_lqs,1.11935,2025-05-14 07:00:00+00:00,TP1_HH_15,,,0.00019000000000002348,0.00038000000000004697,33.959802318207544,102564.9739288074
GBPUSD,long,2025-05-14 06:35:00+00:00,2025-05-14 07:50:00+00:00,1.33038,1.33038,1.0,0.00024000000000001798,TP1_TP1_ATR,GPG_H1,TP1_TP1_ATR,1.33086,2025-05-14 07:00:00+00:00,TP1_TP1_ATR,,,0.00024000000000001798,0.00024000000000001798,18.039958508096785,102583.0138873155
GBPUSD,long,2025-05-14 05:10:00+00:00,2025-05-14 09:00:00+00:00,1.33046,1.3296759254008244,1.0,-0.0007840745991756215,SL_sl_atr_GPG_IS_IN_H1,GPG_IS_IN_H1,SL_sl_atr_GPG_IS_IN_H1,,,,,,,-0.0007840745991756215,-58.932594679706376,102524.08129263579
GBPUSD,long,2025-05-14 05:15:00+00:00,2025-05-14 09:00:00+00:00,1.33047,1.3296912164436225,1.0,-0.0007787835563775047,SL_sl_atr_FVG,FVG,SL_sl_atr_FVG,,,,,,,-0.0007787835563775047,-58.53446950156747,102465.54682313422
GBPUSD,long,2025-05-14 05:25:00+00:00,2025-05-14 09:00:00+00:00,1.33045,1.3297280386682255,1.0,-0.0007219613317743789,SL_sl_atr_FVG_GPG_IS_IN_H1,FVG_GPG_IS_IN_H1,SL_sl_atr_FVG_GPG_IS_IN_H1,,,,,,,-0.0007219613317743789,-54.26444674917351,102411.28237638505
USDCHF,long,2025-05-14 07:30:00+00:00,2025-05-14 09:05:00+00:00,0.838,0.83961,1.0,0.0016100000000000003,TP2_RR_5,OB,TP2_RR_5,0.83961,2025-05-14 09:05:00+00:00,TP1_TP1_ATR,0.8395939802960405,2025-05-14 09:05:00+00:00,0.0008050000000000002,0.0016100000000000003,192.12410501193324,102603.40648139699
USDCHF,long,2025-05-14 07:00:00+00:00,2025-05-14 10:35:00+00:00,0.83848,0.83848,1.0,0.0005649999999999822,TP1_TP1_ATR,FVG_H1,TP1_TP1_ATR,0.83961,2025-05-14 09:05:00+00:00,TP1_TP1_ATR,,,0.0005649999999999822,0.0005649999999999822,67.38383742009138,102670.79031881707
EURUSD,long,2025-05-14 09:05:00+00:00,2025-05-14 10:40:00+00:00,1.11832,1.1204,1.0,0.002080000000000082,TP2_RR_5,OB,TP2_RR_5,1.1204,2025-05-14 10:40:00+00:00,TP1_HH_15,1.1201852280364422,2025-05-14 10:40:00+00:00,0.001040000000000041,0.002080000000000082,185.99327562773462,102856.7835944448
AUDUSD,long,2025-05-14 09:05:00+00:00,2025-05-14 10:40:00+00:00,0.64657,0.64778,1.0,0.0012100000000000444,bearish_lqs,OB,bearish_lqs,,,,,,,0.0012100000000000444,187.14137680375586,103043.92497124856
EURUSD,long,2025-05-14 10:15:00+00:00,2025-05-14 10:55:00+00:00,1.11858,1.12145,1.0,0.0023450000000001525,TP2_double_HH_15,BREAKER,TP2_double_HH_15,1.1204,2025-05-14 10:40:00+00:00,TP1_HH_15,1.1214200000000003,2025-05-14 10:55:00+00:00,0.0009100000000000774,0.0023450000000001525,209.6407945788547,103253.56576582741
AUDNZD,long,2025-05-14 12:20:00+00:00,2025-05-14 12:40:00+00:00,1.08901,1.0880072634185258,1.0,-0.0010027365814742062,SL_sl_atr_BREAKER_H1,BREAKER_H1,SL_sl_atr_BREAKER_H1,,,,,,,-0.0010027365814742062,-92.07781209302084,103161.4879537344
AUDNZD,long,2025-05-14 12:35:00+00:00,2025-05-14 12:40:00+00:00,1.08823,1.0878433009221942,1.0,-0.0003866990778058632,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-0.0003866990778058632,-35.53468272386014,103125.95327101054
AUDNZD,long,2025-05-14 12:40:00+00:00,2025-05-14 12:45:00+00:00,1.08775,1.0873202079991804,1.0,-0.00042979200081960656,SL_sl_atr_BREAKER,BREAKER,SL_sl_atr_BREAKER,,,,,,,-0.00042979200081960656,-39.512020300584375,103086.44125070995
XAUUSD,long,2025-05-14 12:20:00+00:00,2025-05-14 14:45:00+00:00,3230.92,3230.92,1.0,3.4300000000000637,TP1_TP1_ATR,GPL_H1,TP1_TP1_ATR,3237.78,2025-05-14 14:20:00+00:00,TP1_TP1_ATR,,,3.4300000000000637,3.4300000000000637,106.1617124534208,103192.60296316337
XAUUSD,long,2025-05-14 14:50:00+00:00,2025-05-14 14:55:00+00:00,3225.96,3223.0551727527445,1.0,-2.9048272472555254,SL_sl_atr_BREAKER,BREAKER,SL_sl_atr_BREAKER,,,,,,,-2.9048272472555254,-90.0453585058564,103102.55760465752
XAUUSD,long,2025-05-14 14:45:00+00:00,2025-05-14 14:55:00+00:00,3226.35,3223.408647579879,1.0,-2.941352420120893,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-2.941352420120893,-91.16656345780504,103011.39104119972
XAUUSD,long,2025-05-14 14:55:00+00:00,2025-05-14 15:10:00+00:00,3220.16,3216.387660413263,1.0,-3.772339586736962,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-3.772339586736962,-117.14758231693338,102894.24345888277
XAUUSD,long,2025-05-14 15:30:00+00:00,2025-05-14 15:35:00+00:00,3212.07,3204.4919221243404,1.0,-7.578077875659801,SL_sl_atr_FVG,FVG,SL_sl_atr_FVG,,,,,,,-7.578077875659801,-235.9250538020591,102658.31840508072
XAUUSD,long,2025-05-14 15:35:00+00:00,2025-05-14 15:45:00+00:00,3200.7,3195.2410705440307,1.0,-5.458929455969155,SL_sl_atr_FVG,FVG,SL_sl_atr_FVG,,,,,,,-5.458929455969155,-170.55423675974492,102487.76416832098
GBPUSD,long,2025-05-14 17:00:00+00:00,2025-05-14 17:15:00+00:00,1.33093,1.3300676278785615,1.0,-0.0008623721214384705,SL_sl_atr_FVG,FVG,SL_sl_atr_FVG,,,,,,,-0.0008623721214384705,-64.79470155744258,102422.96946676353
GBPUSD,long,2025-05-14 17:15:00+00:00,2025-05-14 17:35:00+00:00,1.3299400000000001,1.3291556299013116,1.0,-0.0007843700986884805,SL_sl_atr_FVG,FVG,SL_sl_atr_FVG,,,,,,,-0.0007843700986884805,-58.977856045271245,102363.99161071827
AUDNZD,long,2025-05-14 12:45:00+00:00,2025-05-14 18:00:00+00:00,1.08725,1.08893,1.0,0.0016799999999999038,TP2_RR_5,FVG,TP2_RR_5,1.08893,2025-05-14 18:00:00+00:00,TP1_TP1_ATR,1.089259748575234,2025-05-14 18:00:00+00:00,0.0008399999999999519,0.0016799999999999038,154.51828006437378,102518.50989078263
AUDNZD,long,2025-05-14 12:55:00+00:00,2025-05-14 18:00:00+00:00,1.08693,1.08893,1.0,0.0015399999999999858,TP2_RR_5,BREAKER_IS_IN_H1,TP2_RR_5,1.08801,2025-05-14 15:00:00+00:00,TP1_TP1_ATR,1.0893694745462112,2025-05-14 18:00:00+00:00,0.0005399999999999849,0.0015399999999999858,141.68345707635137,102660.19334785899
GBPUSD,long,2025-05-14 17:35:00+00:00,2025-05-14 18:20:00+00:00,1.32911,1.3294000000000001,1.0,0.0002900000000001235,bearish_mons_reaction,BREAKER_H1_FVG_H1,bearish_mons_reaction,,,,,,,0.0002900000000001235,21.81911203738769,102682.01245989637
GBPUSD,long,2025-05-14 18:20:00+00:00,2025-05-14 18:30:00+00:00,1.3294000000000001,1.32973,1.0,0.00032999999999994145,bearish_mons_reaction,BREAKER_H1_FVG_H1,bearish_mons_reaction,,,,,,,0.00032999999999994145,24.823228524141825,102706.83568842051
USDCHF,long,2025-05-14 20:25:00+00:00,2025-05-14 21:15:00+00:00,0.84056,0.84226,1.0,0.0017000000000000348,bearish_lqs,FVG,bearish_lqs,,,,,,,0.0017000000000000348,202.24612163320106,102909.08181005371
AUDNZD,long,2025-05-14 13:35:00+00:00,2025-05-14 21:35:00+00:00,1.0878,1.08946,1.0,0.001194999999999946,bearish_lqs,BREAKER_H1_FVG_H1,bearish_lqs,1.08853,2025-05-14 17:10:00+00:00,TP1_TP1_ATR,,,0.0003649999999999487,0.001194999999999946,109.85475271189061,103018.93656276561
